date,signal_value
2026-08-11,91983.84
2026-08-11,92172.83
2026-08-11,92268.35
2026-08-12,92219.44
2026-08-12,92479.85
2026-08-12,92759.69
2026-08-12,92638.59
2026-08-12,92650.67
2026-08-12,92514.35
2026-08-12,92212.77
2026-08-12,92185.96
2026-08-12,92198.31
2026-08-12,92241.58
2026-08-12,92210.92
2026-08-12,92415.75
2026-08-12,92120.01
2026-08-12,92644.74
2026-08-12,91964.42
2026-08-12,91899.26
2026-08-12,92087.85
2026-08-12,92184.55
2026-08-12,92117.37
2026-08-12,91856.01
2026-08-12,91929.19
2026-08-12,91783.04
2026-08-12,91665.42
2026-08-12,91628.66
2026-08-13,91786.52
2026-08-13,91900.99
2026-08-13,92066.04
2026-08-13,92367.43
2026-08-13,92248.25
2026-08-13,92424.34
2026-08-13,92381.57
2026-08-13,92336.75
2026-08-13,92781.38
2026-08-13,92684.99
2026-08-13,92416.95
2026-08-13,92107.59
2026-08-13,92134.8
2026-08-13,92194.81
2026-08-13,92701.45
2026-08-13,92073.98
2026-08-13,91628.58
2026-08-13,91942.79
2026-08-13,92087.25
2026-08-13,91859.19
2026-08-13,91953.82
2026-08-13,91847.39
2026-08-13,91912.33
2026-08-13,91809.16
2026-08-14,91981.69
2026-08-14,92076.45
2026-08-14,92110.01
2026-08-14,91458.42
2026-08-14,91290.86
2026-08-14,91667.7
2026-08-14,91414.22
2026-08-14,91175.0
2026-08-14,91247.6
2026-08-14,91172.79
2026-08-14,90866.83
2026-08-14,90811.06
2026-08-14,90327.1
2026-08-14,90111.92
2026-08-14,90135.36
2026-08-14,90245.98
2026-08-14,90539.79
2026-08-14,90442.57
2026-08-14,90312.49
2026-08-14,90440.21
2026-08-14,90634.53
2026-08-14,90553.55
2026-08-14,90425.75
2026-08-14,90372.21
2026-08-15,90412.46
2026-08-15,90441.79
2026-08-15,90407.93
2026-08-15,90367.58
2026-08-15,90383.65
2026-08-15,90408.62
2026-08-15,90397.55
2026-08-15,90387.05
2026-08-15,90352.98
2026-08-15,90470.45
2026-08-15,90492.4
2026-08-15,90486.88
2026-08-15,90399.21
2026-08-15,90421.98
2026-08-15,90377.53
2026-08-15,90378.46
2026-08-15,90488.92
2026-08-15,90483.52
2026-08-15,90469.69
2026-08-15,90403.21
2026-08-15,90463.96
2026-08-15,90476.72
2026-08-15,90409.34
2026-08-15,90453.14
2026-08-16,90459.05
2026-08-16,90439.48
2026-08-16,90391.72
2026-08-16,90428.64
2026-08-16,90409.7
2026-08-16,90405.63
2026-08-16,90361.21
2026-08-16,90346.87
2026-08-16,90376.83
2026-08-16,90417.05
2026-08-16,90414.13
2026-08-16,90445.55
2026-08-16,90421.85
2026-08-16,90392.87
2026-08-16,90438.83
2026-08-16,90454.2
2026-08-16,90495.07
2026-08-16,90439.78
2026-08-16,90452.2
