rank,account,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,value_inr,cash_inr,holdings_inr,realized_pnl_inr,trades
150,acc_161,36.0,76.0,3.0,3.0,60.0,9933.3,641.06,9292.24,0.0,3
151,acc_126,33.0,68.0,12.0,3.0,40.0,9933.22,3600.96,6332.26,0.0,2
152,acc_139,33.0,80.0,4.0,3.0,40.0,9933.22,3600.96,6332.26,0.0,2
153,acc_141,33.0,80.0,8.0,1.5,40.0,9933.22,3600.96,6332.26,0.0,2
154,acc_182,40.0,68.0,10.0,3.0,30.0,9932.87,1305.55,8627.32,-28.5,8
155,acc_195,40.0,80.0,3.0,3.0,30.0,9932.87,1305.55,8627.32,-28.5,8
156,acc_154,36.0,68.0,12.0,1.5,40.0,9930.97,2135.74,7795.23,-16.44,5
157,acc_167,36.0,80.0,4.0,1.5,40.0,9930.97,2135.74,7795.23,-16.44,5
158,acc_150,36.0,68.0,4.0,1.5,50.0,9926.27,1232.99,8693.29,-11.9,5
159,acc_163,36.0,76.0,6.0,1.5,50.0,9926.27,1232.99,8693.29,-11.9,5
160,acc_124,33.0,68.0,8.0,1.5,50.0,9922.35,2501.95,7420.4,0.0,2
161,acc_125,33.0,68.0,10.0,2.0,50.0,9922.35,2501.95,7420.4,0.0,2
162,acc_137,33.0,76.0,12.0,1.5,50.0,9922.35,2501.95,7420.4,0.0,2
163,acc_138,33.0,80.0,3.0,2.0,50.0,9922.35,2501.95,7420.4,0.0,2
164,acc_121,33.0,68.0,3.0,2.0,60.0,9913.81,1602.49,8311.32,0.0,2
165,acc_122,33.0,68.0,4.0,3.0,60.0,9913.81,1602.49,8311.32,0.0,2
166,acc_134,33.0,76.0,5.0,2.0,60.0,9913.81,1602.49,8311.32,0.0,2
167,acc_135,33.0,76.0,6.0,3.0,60.0,9913.81,1602.49,8311.32,0.0,2
168,acc_127,33.0,72.0,4.0,1.0,40.0,9907.89,5948.29,3959.6,-29.57,3
169,acc_140,33.0,80.0,6.0,1.0,40.0,9907.89,5948.29,3959.6,-29.57,3
170,acc_144,36.0,64.0,4.0,1.0,20.0,9904.07,6337.1,3566.97,-41.44,6
171,acc_157,36.0,72.0,6.0,1.0,20.0,9904.07,6337.1,3566.97,-41.44,6
172,acc_170,36.0,80.0,10.0,1.0,20.0,9904.07,6337.1,3566.97,-41.44,6
173,acc_123,33.0,68.0,6.0,1.0,50.0,9895.95,4948.35,4947.6,-30.81,3
174,acc_136,33.0,76.0,10.0,1.0,50.0,9895.95,4948.35,4947.6,-30.81,3
175,acc_162,36.0,76.0,5.0,1.0,60.0,9877.13,1552.75,8324.38,-30.94,6
176,acc_153,36.0,68.0,10.0,1.0,40.0,9871.54,3526.25,6345.29,-46.48,6
177,acc_166,36.0,80.0,3.0,1.0,40.0,9871.54,3526.25,6345.29,-46.48,6
178,acc_149,36.0,68.0,3.0,1.0,50.0,9871.14,2437.15,7433.99,-40.31,6
179,acc_172,40.0,64.0,3.0,2.0,20.0,9787.79,2118.06,7669.73,-110.63,19
180,acc_185,40.0,72.0,5.0,2.0,20.0,9787.79,2118.06,7669.73,-110.63,19
181,acc_198,40.0,80.0,8.0,2.0,20.0,9787.79,2118.06,7669.73,-110.63,19
182,acc_181,40.0,68.0,8.0,2.0,30.0,9783.0,1376.07,8406.93,-108.39,16
183,acc_194,40.0,76.0,12.0,2.0,30.0,9783.0,1376.07,8406.93,-108.39,16
184,acc_184,40.0,72.0,4.0,1.5,20.0,9772.59,2182.28,7590.3,-123.5,21
185,acc_197,40.0,80.0,6.0,1.5,20.0,9772.59,2182.28,7590.3,-123.5,21
186,acc_180,40.0,68.0,6.0,1.5,40.0,9750.1,971.41,8778.69,-119.3,15
187,acc_193,40.0,76.0,10.0,1.5,40.0,9750.1,971.41,8778.69,-119.3,15
188,acc_175,40.0,64.0,8.0,1.0,60.0,9748.45,357.59,9390.87,-113.92,13
189,acc_188,40.0,72.0,12.0,1.0,60.0,9748.45,357.59,9390.87,-113.92,13
190,acc_176,40.0,64.0,10.0,1.5,50.0,9738.58,820.16,8918.41,-120.95,12
191,acc_177,40.0,64.0,12.0,2.0,50.0,9738.58,820.16,8918.41,-120.95,12
192,acc_189,40.0,76.0,3.0,1.5,50.0,9738.58,820.16,8918.41,-120.95,12
193,acc_190,40.0,76.0,4.0,2.0,50.0,9738.58,820.16,8918.41,-120.95,12
194,acc_173,40.0,64.0,4.0,2.0,60.0,9718.59,646.65,9071.93,-129.51,11
195,acc_186,40.0,72.0,6.0,2.0,60.0,9718.59,646.65,9071.93,-129.51,11
196,acc_199,40.0,80.0,10.0,2.0,60.0,9718.59,646.65,9071.93,-129.51,11
197,acc_179,40.0,68.0,5.0,1.0,40.0,9696.17,977.2,8718.97,-147.49,22
198,acc_192,40.0,76.0,8.0,1.0,40.0,9696.17,977.2,8718.97,-147.49,22
199,acc_183,40.0,72.0,3.0,1.0,20.0,9695.8,2637.22,7058.57,-164.31,27
200,acc_196,40.0,80.0,5.0,1.0,30.0,9684.81,1175.17,8509.64,-156.36,27
