rank,account,entry_mode,entry_rsi,exit_rsi,take_profit_pct,stop_loss_pct,position_size_pct,max_hold_hours,value_inr,cash_inr,holdings_inr,realized_pnl_inr,trades
231,acc_324,momentum,22.0,85.0,8.0,2.0,80.0,336.0,9416.55,309.43,9107.13,-461.6,13
232,acc_452,momentum,40.0,60.0,6.0,3.0,80.0,720.0,9415.91,306.33,9109.58,-143.73,28
233,acc_001,dip,30.0,72.0,4.0,2.0,40.0,0.0,9413.66,5716.63,3697.03,-298.41,11
234,acc_141,dip,30.0,76.0,4.0,2.0,40.0,336.0,9413.66,5716.63,3697.03,-298.41,11
235,acc_098,dip,25.0,85.0,3.0,5.0,50.0,336.0,9408.52,9408.52,0,-521.63,4
236,acc_305,momentum,22.0,64.0,4.0,3.0,10.0,168.0,9403.91,4643.98,4759.93,-329.45,85
237,acc_170,dip,33.0,80.0,5.0,3.0,50.0,336.0,9401.52,2386.12,7015.4,-202.08,22
238,acc_144,dip,30.0,80.0,3.0,1.0,30.0,720.0,9399.13,6639.53,2759.6,-382.92,11
239,acc_187,dip,36.0,72.0,3.0,3.0,30.0,0.0,9398.88,2939.09,6459.79,-234.92,48
240,acc_449,momentum,36.0,85.0,10.0,1.5,10.0,336.0,9393.98,4586.64,4807.35,-514.03,71
241,acc_347,momentum,25.0,85.0,2.0,3.0,30.0,72.0,9388.39,1475.79,7912.6,-234.34,71
242,acc_138,dip,30.0,72.0,5.0,5.0,50.0,336.0,9388.38,4764.95,4623.43,-321.92,11
243,acc_152,dip,33.0,60.0,5.0,1.5,30.0,720.0,9375.76,4635.72,4740.04,-333.27,22
244,acc_163,dip,33.0,72.0,6.0,1.0,30.0,0.0,9375.76,4635.72,4740.04,-333.27,22
245,acc_297,momentum,18.0,85.0,2.0,2.0,10.0,168.0,9372.39,4542.65,4829.73,-306.18,109
246,acc_467,momentum,40.0,76.0,10.0,3.0,30.0,168.0,9370.29,1178.63,8191.66,-539.66,34
247,acc_311,momentum,22.0,68.0,15.0,3.0,60.0,336.0,9366.68,400.79,8965.89,-338.38,25
248,acc_410,momentum,33.0,68.0,10.0,3.0,60.0,0.0,9366.68,400.79,8965.89,-338.38,25
249,acc_257,momentum,15.0,64.0,12.0,2.0,10.0,168.0,9362.01,4950.91,4411.1,-279.42,126
250,acc_132,dip,30.0,64.0,10.0,3.0,80.0,168.0,9357.1,1917.7,7439.4,-157.09,11
251,acc_337,momentum,25.0,72.0,4.0,2.0,10.0,168.0,9353.08,4500.8,4852.28,-380.98,95
252,acc_396,momentum,30.0,80.0,12.0,1.5,80.0,336.0,9352.72,322.03,9030.69,-504.19,15
253,acc_286,momentum,18.0,68.0,15.0,3.0,20.0,72.0,9334.59,2128.79,7205.8,-383.51,78
254,acc_178,dip,36.0,60.0,8.0,5.0,50.0,336.0,9333.1,1182.12,8150.98,-321.75,29
255,acc_233,dip,45.0,68.0,2.0,5.0,10.0,168.0,9332.3,4621.18,4711.12,-467.31,69
256,acc_079,dip,25.0,60.0,12.0,5.0,60.0,168.0,9331.51,9331.51,0,-590.32,4
257,acc_020,dip,15.0,80.0,4.0,5.0,80.0,72.0,9328.84,9328.84,0,-597.06,2
258,acc_060,dip,22.0,68.0,6.0,5.0,80.0,72.0,9328.84,9328.84,0,-597.06,2
259,acc_457,momentum,40.0,64.0,15.0,2.0,10.0,336.0,9322.27,4532.03,4790.24,-328.98,123
260,acc_444,momentum,36.0,80.0,4.0,2.0,80.0,720.0,9313.55,294.86,9018.7,-484.68,17
261,acc_143,dip,30.0,76.0,12.0,2.0,60.0,168.0,9310.09,1407.49,7902.6,-838.24,10
262,acc_176,dip,36.0,60.0,2.0,5.0,30.0,720.0,9308.17,3226.19,6081.98,-404.32,37
263,acc_087,dip,25.0,72.0,3.0,1.0,60.0,168.0,9304.04,9304.04,0,-583.46,4
264,acc_095,dip,25.0,80.0,5.0,1.5,60.0,168.0,9304.04,9304.04,0,-583.46,4
265,acc_490,momentum,45.0,76.0,3.0,3.0,60.0,0.0,9301.01,697.68,8603.33,-390.32,30
266,acc_321,momentum,22.0,80.0,12.0,1.0,10.0,168.0,9285.97,4575.23,4710.74,-490.87,109
267,acc_289,momentum,18.0,72.0,12.0,1.5,10.0,168.0,9285.69,4878.93,4406.76,-510.31,94
268,acc_155,dip,33.0,64.0,3.0,5.0,30.0,0.0,9282.3,4590.03,4692.27,-461.54,20
269,acc_239,dip,45.0,72.0,10.0,5.0,60.0,336.0,9281.26,535.57,8745.69,-876.07,20
270,acc_454,momentum,40.0,64.0,2.0,5.0,20.0,168.0,9277.6,2240.54,7037.06,-326.53,87
271,acc_364,momentum,28.0,72.0,12.0,2.0,80.0,336.0,9277.53,362.3,8915.23,-505.1,19
272,acc_499,momentum,45.0,85.0,10.0,2.0,30.0,168.0,9277.04,1345.49,7931.55,-617.49,52
273,acc_173,dip,33.0,85.0,4.0,1.5,40.0,720.0,9275.2,3379.4,5895.8,-369.34,22
274,acc_456,momentum,40.0,64.0,8.0,5.0,40.0,72.0,9268.56,1000.48,8268.08,-362.49,60
275,acc_309,momentum,22.0,68.0,5.0,3.0,50.0,0.0,9259.54,589.44,8670.1,-352.87,47
276,acc_249,dip,45.0,85.0,8.0,1.5,10.0,168.0,9256.3,4864.84,4391.46,-651.58,78
277,acc_398,momentum,30.0,85.0,5.0,2.0,20.0,168.0,9255.09,2151.89,7103.2,-463.73,94
278,acc_256,momentum,15.0,64.0,6.0,5.0,40.0,0.0,9254.83,931.49,8323.34,-229.98,55
279,acc_380,momentum,30.0,64.0,4.0,5.0,80.0,336.0,9251.23,293.34,8957.89,-242.65,22
